cytoband	9p21.3	9p23	4q34.3	9q21.11	15q15.1	22q13.32	13q12.11	1p12	19p13.3	21q11.2	1p13.3	11q25	13q34	16q24.1	1p36.11	18q23	18q21.1	2q22.1	8p23.2	10q26.3	5q11.2	6q26	16p13.3	3p12.3	16q23.1	5q35.3	13q14.2	15q11.2	14q32.13	17p13.3	5q31.1	11q12.1	11p15.5	8p21.3	10p15.3	13q31.1	9q34.3	3q11.2	19p12	4p16.3	6q14.3	12p13.2	19p13.2	22q11.21	2q37.2	20p12.1	3p11.1	12q12	11q23.2	11p15.4	17p11.2	9q22.31	
																												PCAT29			WSPAR		NAV2-AS4								HLA-F-AS1						NAA50					LINC01503	
																												SALRNA3			GRPEL2-AS1		HNRNPKP3								HCG22						PIGZ					LINC00963	
																												SALRNA2			TRPC7-AS2		LOC399886								LOC285847						CEP63					LOC100506422	
																												LOC105370757			MIR3142HG		FAM180B								PNPLA1						CEP70					EBLN3P	
																												LOC105370792					PCNX3								TREML4						ABTB1					GAS1RR	
																												LOC105370802					OR51T1								RPL7L1						WDR82					MAMDC2-AS1	
																												LOC105370829					OR51A4								TAAR6						SLC35G2					SMC5-AS1	
																												LOC105370888					OR51A2								SLC35D3						TSEN2					LOC100507346	
																												LOC105370941					IFITM10								ZC3H12D						GRIP2					LINC01504	
																												LOC105370943					OR4A47								DPPA5						OR5AC2					MSANTD3-TMEFF1	
																												LOC105376731					OR4C45								IFITM4P						RTP3					MIR4668	
																												BUB1B-PAK6					SCGB1D4								CLPSL1						LRRC2-AS1					MIR3689D1	
																																	MIR129-2								TREML1						PARP9					MIR4477A	
																																	MIR130A								TREML3P						ESYT3					MIR3689F	
																																	MIR192								RSPH4A						SPATA16					MIR4667	
																																	MIR194-2								ECT2L						EIF2A					MIR4669	
																																	MIR210								EYS						B3GNT5					MIR3960	
																																	KRTAP5-5								ZFP57						C3orf20					MIR4540	
																																	KRTAP5-2								SLC35B2						ARL6					MIR4475	
																																	KRTAP5-6								NUP43						ZIC4					MIR4478	
																																	TMEM41B								HCG26						ATRIP					MIR3689C	
																																	LOC440028								C6orf58						ACAD11					MIR219B	
																																	DKFZp686K1684								RAET1G						IQCG					MIR3689D2	
																																	LOC440040								GUSBP4						ATP13A4					MIR4670	
																																	TRIM51HP								GJB7						FYTTD1					MIR4672	
																																	SLC22A20								ZKSCAN4						NICN1					MIR4476	
																																	LOC441601								LINC00533						CHCHD6					MIR3689E	
																																	OR5B3								HMGA1P7						MON1A					MIR548AW	
																																	TRIM6-TRIM34								SNHG5						CMSS1					MIR548AU	
																																	CCDC73								SUMO4						HPS3					BANCR	
																																	TMEM9B-AS1								CENPW						ACTRT3					NAMA	
																																	LOC494141								SOGA3						JAGN1					FAM74A7	
																																	BDNF-AS								LINC00222						KBTBD8					LINC01505	
																																	MS4A13								CEP85L						SLC12A8					PTENP1-AS	
																																	OR8U8								THEMIS						LINC00852					SNORD121B	
																																	MIR483								SFTA2						RETNLB					LOC101448202	
																																	SNORA3A								CLPSL2						CCDC54					DNAJB5-AS1	
																																	SNORA52								C6orf222						MGC2889					ANKRD18CP	
																																	BTBD18								GLYATL3						IL17RC					LOC101926948	
																																	PGA3								GFRAL						ABHD14B					LINC01506	
																																	PGA4								LIN28B						LRCH3					LOC101927069	
																																	LOC644656								SAMD5						MINA					LINC01474	
																																	RASSF10								IYD						ADGRG7					LOC101927358	
																																	TRIM64C								MUC21						POMGNT2					C9orf41-AS1	
																																	LOC646813								LINC01623						DIRC2					GNA14-AS1	
																																	TSSC2								LINC00243						CEP19					LOC101927450	
																																	SNORA23								MCCD1						BFSP2-AS1					LINC01507	
																																	SNORA3B								SAPCD1						EAF1					LOC101927502	
																																	SNORA54								LINC00336						DCLK3					LOC101927575	
																																	SNORD67								RAB44						GFM1					LOC101927623	
																																	SNORA57								LINC00951						LMLN					LOC101927827	
																																	SNORD97								LOC401261						KLHL6					LOC101927847	
																																	MIR610								CRIP3						MAATS1					LINC01508	
																																	MIR611								TRAM2-AS1						PHLDB2					LOC101927954	
																																	MIR612								KLHL31						VWA5B2					PCAT7	
																																	INS-IGF2								DEFB133						UCN2					LOC101928195	
																																	MUC5B								MIR206						LOC90246					LOC101928381	
																																	MS4A18								MIR219A1						EFCAB12					LOC101928438	
																																	ZBED5-AS1								MIR30A						TMEM41A					TMEM246-AS1	
																																	SEC14L1P1								MIR30C2						ZNF502					LINC01492	
																																	METTL12								HCG14						BOC					LOC101928523	
																																	UQCC3								HCG23						NXPE3					SMC2-AS1	
																																	MIR675								HCG25						RFT1					LINC01509	
																																	LOC100126784								HCG16						OXNAD1					LOC101928748	
																																	MRVI1-AS1								HCG24						SPSB4					LOC101928775	
																																	TMEM262								HCG18						PXYLP1					LOC101928797	
																																	CAND1.11								HCG17						ZBTB47					LOC101929116	
																																	C11orf91								C6orf226						TMEM44					LOC101929331	
																																	FAM99B								TMEM151B						EGFEM1P					PRRX2-AS1	
																																	LINC01001								LOC441155						ACTR8					LOC101929563	
																																	MRPL23-AS1								OOEP						CAMK2N2					LINC01241	
																																	MIR1908								FAM26F						CMTM7					LOC101929583	
																																	MIR1237								FLJ46906						TXNRD3					IFT74-AS1	
																																	MIR302E								OR2B3						OSBPL10					LINC01243	
																																	MIR670								OR2J3						OSBPL11					B4GALT1-AS1	
																																	MIR3160-2								OR14J1						SLC25A26					LINC01251	
																																	MIR3160-1								OR10C1						ZNF501					LOC101929748	
																																	MIR3162								ATP6V0CP3						FANCD2OS					MIR6851	
																																	MIR3161								PTCHD4						LRRC58					MIR6852	
																																	MIR3159								SLC25A51P1						LRRC3B					MIR6854	
																																	MIR4298								GSTM2P1						TM4SF19					MIR6856	
																																	MIR4299								RFPL4B						TM4SF18					MIR6877	
																																	MTRNR2L8								MIR133B						RPL39L					MIR7150	
																																	MIR3654								GGNBP1						MED12L					MIR7702	
																																	CCDC179								LOC554223						CLRN1-AS1					MIR8081	
																																	LOC100506082								SNORD101						GALNT15					MIR6853	
																																	MIR210HG								SNORD100						GPR62					MIR6081	
																																	LOC100506258								SNORA33						CPNE4					MIR6855	
																																	LINC00958								FAM229B						CCDC58					LOC102723566	
																																	SPTY2D1-AS1								TSG1						KCNH8					LOC102723709	
																																	DCDC5								LOC643623						DNAJC19					LOC102724156	
																																	LOC100506675								TRAF3IP2-AS1						OTOL1					LOC102724238	
																																	LOC100507144								CTAGE9						FAM3D					LOC102724580	
																																	LOC100507205								LINC01625						ZPLD1					LOC102725126	
																																	MIR670HG								RPS18P9						LYZL4					LINC01410	
																																	ALKBH3-AS1								LOC645967						KLHL40					RORB-AS1	
																																	LOC100507384								RAET1K						TRIM71					LOC103908605	
																																	LRP4-AS1								C6orf132						FAM131A					LOC105376064	
																																	TMX2-CTNND1								RPS16P5						CD200R1					LOC105376114	
																																	SAA2-SAA4								ZNF192P1						CHCHD4					LOC105376194	
																																	ARL2-SNX15								SNORA38						ZDHHC19					LOC105376271	
																																	HNRNPUL2-BSCL2								SNORD50B						CRYBG3					LOC105376306	
																																	MIR4486								SNORD32B						DCBLD2					LOC105379450	
																																	MIR4686								SNORD84						LRRC15					XLOC_007697	
																																	MIR4487								SNORD117						FAM43A					LINC01613	
																																	MIR4485								MIR548A2						TPRA1					SNORD141A	
																																	MIR4489								MIR548B						TMEM42						
																																	MIR4690								MIR586						UROC1						
																																	MIR3973								MIR587						ERICH6						
																																	MIR4688								MIR588						NUDT16						
																																	MIR4694								MCHR2-AS1						COL6A6						
																																	MIR1343								TPI1P3						GRK7						
																																	MIR4687								METTL24						FAM172BP						
																																	MIR4488								KATNBL1P6						TMEM207						
																																	MIR5691								STXBP5-AS1						METTL6						
																																	MIR5582								LINC01556						TAMM41						
																																	NAV2-AS5								LOC730101						IL17RE						
																																	NAV2-AS2								GSTA7P						RTP1						
																																	LOC100996455								TDRG1						IQCF1						
																																	LINC00678								LIN28B-AS1						GLYCTK						
																																	LOC101927120								MIR877						PPM1M						
																																	LOC101927204								UST-AS1						C3orf49						
																																	PANO1								TRAPPC3L						SNTN						
																																	LOC101927495								KHDC1L						SYNPR						
																																	LOC101927503								ZSCAN16-AS1						LSMEM2						
																																	LINC01150								LOC100129636						RPL32P3						
																																	CD81-AS1								LOC100130476						H1FOO						
																																	LOC101927708								PSORS1C3						PISRT1						
																																	OLFM5P								TSTD3						ASB14						
																																	OVOL1-AS1								LOC100131047						TTC14						
																																	TUB-AS1								LINC00271						DTX3L						
																																	LOC101928008								LINC01512						FAM19A4						
																																	LOC101928053								LOC100132735						SGO1						
																																	LOC101928132								CD24						PP2D1						
																																	FBXO3-AS1								TOMM6						EFHB						
																																	LOC101928510								LOC100287632						LINC00635						
																																	LINC01493								ANKRD66						PPM1L						
																																	LOC101928591								HMGN3-AS1						WDR49						
																																	LOC101928812								LOC100294145						LRRC34						
																																	LOC101928894								NHEG1						CPNE9						
																																	LOC101928943								MIR1275						DPPA2						
																																	C11orf98								MIR2113						CCDC80						
																																	MIR6073								MIR1236						BTLA						
																																	MIR6128								LOC100422737						CCDC12						
																																	MIR6503								MIR548U						MB21D2						
																																	MIR6514								MIR3144						PPP4R2						
																																	MIR6743								MIR3145						XXYLT1						
																																	MIR6746								MIR4282						ROPN1B						
																																	MIR6747								MTRNR2L9						LINC00691						
																																	MIR6748								MIR3934						C3orf22						
																																	MIR6751								MIR3668						PQLC2L						
																																	MIR7154								MIR3662						ZCWPW2						
																																	MIR8054								MIR3925						CMC1						
																																	MIR8070								SYNE1-AS1						NEK10						
																																	MIR8087								LOC100505530						C3orf79						
																																	MIR7847								LOC100505635						CCDC50						
																																	MIR6750								LOC100506188						PYDC2						
																																	MIR6744								LOC100506804						SPICE1						
																																	MIR6745								SMLR1						CMTM8						
																																	MIR6749								LINC01013						NUDT16P1						
																																	MIR6879								TARID						CCDC13						
																																	MIR7155								LINC01015						NCBP2-AS2						
																																	MIR8068								KCNQ5-IT1						LOC152225						
																																	MIR6124								HCG8						FGD5						
																																	LOC102723330								LOC100507406						LOC152274						
																																	LINC01495								MICA						CIDECP						
																																	LINC01499								GVQW2						CNTN4						
																																	LOC102724784								PSMB8-AS1						IGSF11						
																																	LOC102724957								LOC100507477						C3orf30						
																																	PAUPAR								LINC01277						PARP15						
																																	LOC103312105								LOC100507547						SPTSSB						
																																	HOTS								LOC100507557						DNAJB8						
																																	BGLT3								LINC01016						GPR156						
																																	CASC23								MUC22						XIRP1						
																																	BBOX1-AS1								RPS10-NUDT3						RNF168						
																																	LINC01219								MSH5-SAPCD1						CHST13						
																																	LOC105369332								ATP6V1G2-DDX39B						PRICKLE2						
																																	LOC105369340								PPT2-EGFL8						KBTBD12						
																																	MIR194-2HG								MIR4464						DHX36						
																																	LOC105376554								MIR4647						HTR3C						
																																	LOC105376575								MIR4643						DZIP1L						
																																	LOC105376599								MIR4641						TTC21A						
																																	LOC105376633								MIR4465						ALG1L						
																																	LOC105376671								MIR548AJ1						C3orf67						
																																	LINC01616								MIR3135B						KCTD6						
																																	SNORA88								MIR4646						LIPH						
																																	SNORD131								MIR4459						ARL13B						
																																	KCNK4-TEX40								MIR4640						DHFR2						
																																									MIR548AI						HTR3D						
																																									MIR4642						RPL22L1						
																																									MIR4463						SLC51A						
																																									MIR4462						FBXO45						
																																									MIR548H5						KLHDC8B						
																																									RAET1E-AS1						MUC20						
																																									MIR5004						GABRR3						
																																									MIR5690						HACD2						
																																									MIR5685						STT3B						
																																									KCNQ5-AS1						LINC00870						
																																									MLIP-IT1						DNAH12						
																																									LOC100996634						PDE12						
																																									FOXP4-AS1						DENND6A						
																																									LINCMD1						TIGIT						
																																									PANDAR						AADACP1						
																																									LOC101926898						C3orf58						
																																									LOC101926915						SENP5						
																																									LOC101926934						USF3						
																																									LOC101926962						LOC220729						
																																									LOC101927020						ZBTB38						
																																									LOC101927048						CADM2						
																																									LOC101927082						LOC253573						
																																									LOC101927136						ZNF620						
																																									LINC01564						NAALADL2						
																																									LOC101927189						ZDHHC23						
																																									LOC101927211						LINC00879						
																																									MANEA-AS1						NUP210P1						
																																									LOC101927314						TCTEX1D2						
																																									LOC101927365						SMCO1						
																																									LOC101927640						SDHAP1						
																																									LOC101927686						COL6A5						
																																									LOC101927768						GK5						
																																									LOC101927919						PLCXD2						
																																									HRAT13						GCSAM						
																																									LOC101928140						UTS2B						
																																									LOC101928231						ALS2CL						
																																									LOC101928280						TMIE						
																																									LOC101928304						TUSC7						
																																									LOC101928307						SLC9A9						
																																									EVADR						EOGT						
																																									LOC101928429						LINC00636						
																																									LOC101928461						EPHA6						
																																									LOC101928489						DNAJB8-AS1						
																																									LOC101928516						FBXW12						
																																									LOC101928540						C3orf38						
																																									MEI4						HTR3E						
																																									LOC101928661						ENTPD3-AS1						
																																									LINC01526						ZNF619						
																																									LOC101928820						ZNF621						
																																									LOC101928911						RABL3						
																																									LOC101928936						LINC00877						
																																									LOC101929006						C3orf56						
																																									LOC101929057						IGSF10						
																																									CASC6						C3orf33						
																																									LOC101929163						LINC00692						
																																									LOC101929188						CCDC66						
																																									LOC101929243						SLC9C1						
																																									LOC101929555						TCAIM						
																																									LOC101929705						ZNF852						
																																									ARMC2-AS1						ZNF660						
																																									LOC101929726						KIF9-AS1						
																																									LOC101930010						PDCL3P4						
																																									C2-AS1						SUMF1						
																																									MIR6833						RPUSD3						
																																									MIR6834						PRRT3						
																																									MIR6835						LINC00606						
																																									MIR6891						LINC00620						
																																									MIR7111						DPH3						
																																									MIR7641-2						C3orf70						
																																									MIR6721						TPRG1						
																																									MIR6832						LOC285389						
																																									MIR6780B						LINC00698						
																																									MIR6873						ILDR1						
																																									MIR7159						TRIM59						
																																									HCG21						TRIM42						
																																									LOC102723649						EIF4E3						
																																									LOC102723831						RAB43						
																																									LOC102723883						CCDC39						
																																									LINC01626						CCDC36						
																																									TBX18-AS1						KY						
																																									LINC01276						LOC339862						
																																									LOC103352541						LOC339874						
																																									NCOA7-AS1						C3orf35						
																																									SAPCD1-AS1						LINC00880						
																																									TRIM31-AS1						GADL1						
																																									HCG20						PRSS42						
																																									LOC105375014						EHHADH-AS1						
																																									LOC105375075						LPP-AS2						
																																									LOC105377879						H1FX-AS1						
																																									LINC01611						DUBR						
																																									LOC105377924						LRRIQ4						
																																									LOC105377962						SAMD7						
																																									LOC105377967						AADACL2						
																																									LOC105377975						GPR149						
																																									LOC105378047						ZNF860						
																																									LOC105378052						TMPRSS7						
																																									LUADT1						CD200R1L						
																																									MDC1-AS1						PAQR9						
																																									DDX39B-AS1						COL6A4P1						
																																									HLA-DQB1-AS1						NMRAL1P1						
																																									SNORA98						RTP2						
																																									SNORD141A						OSTN						
																																									LINC00680						ATP13A5						
																																									LINC00680-GUSBP4						SOX2-OT						
																																									CNPY3-GNMT						NME9						
																																															WDR53						
																																															LNP1						
																																															CFAP100						
																																															NPHP3-AS1						
																																															TPRXL						
																																															ANKRD18DP						
																																															NMNAT3						
																																															ZNF445						
																																															SPATA12						
																																															LHFPL4						
																																															TOPAZ1						
																																															C3orf62						
																																															TMEM110						
																																															NRROS						
																																															PRSS45						
																																															AMIGO3						
																																															ZNF662						
																																															CDHR4						
																																															FAM212A						
																																															IQCF2						
																																															IQCF5						
																																															MUSTN1						
																																															VGLL3						
																																															PRR23B						
																																															PRR23C						
																																															PLSCR5						
																																															ANKUB1						
																																															LEKR1						
																																															TMEM212						
																																															VENTXP7						
																																															LOC401052						
																																															IQCF3						
																																															LINC00960						
																																															FLJ22763						
																																															LINC01205						
																																															FOXL2NB						
																																															MBNL1-AS1						
																																															C3orf80						
																																															FLJ46066						
																																															FLJ42393						
																																															LINC00884						
																																															LINC00885						
																																															OR5K2						
																																															OR5H14						
																																															OR5H15						
																																															OR5K3						
																																															OR5K4						
																																															MIRLET7G						
																																															MIR128-2						
																																															MIR135A1						
																																															MIR138-1						
																																															MIR15B						
																																															MIR16-2						
																																															MIR191						
																																															MIR198						
																																															MIR26A1						
																																															MIR28						
																																															FAM19A1						
																																															STX19						
																																															THUMPD3-AS1						
																																															EIF1B-AS1						
																																															TMEM89						
																																															IQCF6						
																																															SMIM4						
																																															LINC00971						
																																															LOC440982						
																																															LINC00969						
																																															EMC3-AS1						
																																															MIR425						
																																															ARGFX						
																																															SNORA6						
																																															SNORA7A						
																																															SNORD2						
																																															SNORA4						
																																															TMPPE						
																																															TMEM30CP						
																																															LIMD1-AS1						
																																															ALG1L2						
																																															THRB-AS1						
																																															LINC00693						
																																															TXNRD3NB						
																																															TMEM14EP						
																																															LINC01330						
																																															COL6A4P2						
																																															SPINK8						
																																															ARIH2OS						
																																															C3orf84						
																																															IGF2BP2-AS1						
																																															LOC646730						
																																															LOC646903						
																																															PA2G4P4						
																																															LINC01192						
																																															GMNC						
																																															LOC647323						
																																															TMEM183B						
																																															LOC653712						
																																															IQCJ						
																																															SCARNA7						
																																															LINC00488						
																																															SNORA7B						
																																															SNORA58						
																																															SNORA81						
																																															SNORD19						
																																															FAM86DP						
																																															SNORD66						
																																															SNORD69						
																																															MIR551B						
																																															MIR563						
																																															MIR564						
																																															MIR566						
																																															MIR567						
																																															MIR568						
																																															MIR569						
																																															MIR570						
																																															GXYLT2						
																																															SDHAP2						
																																															FAM157A						
																																															LOC728290						
																																															LOC729083						
																																															FAM198A						
																																															CCR2						
																																															FAM86HP						
																																															PRR23A						
																																															LINC00886						
																																															LINC01100						
																																															ESRG						
																																															ZBTB11-AS1						
																																															SNORD19B						
																																															FAM86JP						
																																															MIR922						
																																															MIR885						
																																															MIR944						
																																															EGOT						
																																															GHRLOS						
																																															DPPA2P3						
																																															WWTR1-AS1						
																																															LOC100128164						
																																															LINC00696						
																																															ACVR2B-AS1						
																																															SEMA3F-AS1						
																																															NRADDP						
																																															MKRN2OS						
																																															LOC100129550						
																																															ZBTB20-AS1						
																																															LINC00887						
																																															LOC100131635						
																																															ZNF717						
																																															LOC100132146						
																																															FGD5P1						
																																															BSN-AS2						
																																															SNAR-I						
																																															MIR1224						
																																															TIPARP-AS1						
																																															PRSS46						
																																															MTHFD2P1						
																																															LINC00994						
																																															LMCD1-AS1						
																																															FRG2C						
																																															SRGAP3-AS3						
																																															LOC100289361						
																																															MIR1284						
																																															MIR1248						
																																															MIR1263						
																																															MIR548I1						
																																															MIR1324						
																																															MIR1226						
																																															LINC00882						
																																															MIR2115						
																																															MIR711						
																																															MIR3136						
																																															MIR544B						
																																															MIR4270						
																																															MIR3135A						
																																															MIR3137						
																																															MIR378B						
																																															MIR4272						
																																															MIR4271						
																																															MIR4273						
																																															MIR3134						
																																															MIR466						
																																															LINC00881						
																																															MIR3919						
																																															MIR3921						
																																															MIR3938						
																																															MIR3923						
																																															MIR3714						
																																															IQCJ-SCHIP1						
																																															LINC01208						
																																															LINC00578						
																																															LOC100505609						
																																															FGD5-AS1						
																																															LINC00888						
																																															SH3BP5-AS1						
																																															UBE2E2-AS1						
																																															LOC100505920						
																																															KRBOX1						
																																															KRBOX1-AS1						
																																															PVRL3-AS1						
																																															LINC01279						
																																															PRKAR2A-AS1						
																																															LINC00901						
																																															IGSF11-AS1						
																																															MYLK-AS1						
																																															IQCF4						
																																															CCDC37-AS1						
																																															PTPRG-AS1						
																																															TMCC1-AS1						
																																															MFI2-AS1						
																																															PSMD6-AS2						
																																															DLG1-AS1						
																																															ADAMTS9-AS2						
																																															LOC100507210						
																																															LINC01210						
																																															LOC100507291						
																																															TMEM44-AS1						
																																															LOC100507389						
																																															LOC100507391						
																																															LOC100507461						
																																															ARHGEF26-AS1						
																																															LOC100507537						
																																															BHLHE40-AS1						
																																															LOC100507661						
																																															ARPC4-TTLL3						
																																															ABHD14A-ACY1						
																																															TMEM110-MUSTN1						
																																															NPHP3-ACAD11						
																																															ISY1-RAB43						
																																															TM4SF19-TCTEX1D2						
																																															MIR4793						
																																															MIR4448						
																																															MIR4445						
																																															MIR4787						
																																															MIR4795						
																																															MIR4796						
																																															MIR4797						
																																															MIR4788						
																																															MIR4791						
																																															MIR4790						
																																															MIR548AB						
																																															MIR4444-1						
																																															MIR4789						
																																															MIR4443						
																																															MIR4792						
																																															MIR4446						
																																															MIR4442						
																																															MIR4447						
																																															PRICKLE2-AS1						
																																															RBM5-AS1						
																																															LINC00501						
																																															LINC00506						
																																															MIR5002						
																																															MIR5186						
																																															MIR5092						
																																															MIR5704						
																																															MIR5682						
																																															MIR5588						
																																															MIR5688						
																																															MIR548AQ						
																																															MIR5193						
																																															ALDH1L1-AS2						
																																															NAALADL2-AS3						
																																															LPP-AS1						
																																															GRM7-AS1						
																																															MYLK-AS2						
																																															OPA1-AS1						
																																															HLTF-AS1						
																																															LMLN-AS1						
																																															SNRK-AS1						
																																															CNTN4-AS1						
																																															CNTN4-AS2						
																																															RBMS3-AS1						
																																															RBMS3-AS3						
																																															ABCC5-AS1						
																																															MAGI1-AS1						
																																															FGF12-AS1						
																																															FGF12-AS3						
																																															ITIH4-AS1						
																																															VIPR1-AS1						
																																															NLGN1-AS1						
																																															SYNPR-AS1						
																																															KLHL6-AS1						
																																															TPRG1-AS2						
																																															SGO1-AS1						
																																															CFAP44-AS1						
																																															PRRT3-AS1						
																																															UBXN7-AS1						
																																															CADM2-AS2						
																																															THOC7-AS1						
																																															TPRG1-AS1						
																																															EIF2B5-AS1						
																																															KCNAB1-AS2						
																																															KCNAB1-AS1						
																																															RUVBL1-AS1						
																																															SLC6A1-AS1						
																																															TM4SF1-AS1						
																																															UBE2E1-AS1						
																																															ZNF197-AS1						
																																															ADIPOQ-AS1						
																																															HDAC11-AS1						
																																															GLYCTK-AS1						
																																															CCDC13-AS1						
																																															PLCXD2-AS1						
																																															ZBTB20-AS4						
																																															ARHGEF3-AS1						
																																															B4GALT4-AS1						
																																															ALDH1L1-AS1						
																																															OSBPL10-AS1						
																																															ST3GAL6-AS1						
																																															TM4SF19-AS1						
																																															ZNF385D-AS1						
																																															ATP13A5-AS1						
																																															TMEM212-AS1						
																																															ZNF385D-AS2						
																																															CACNA2D3-AS1						
																																															PRICKLE2-AS2						
																																															PRICKLE2-AS3						
																																															NAALADL2-AS2						
																																															NAALADL2-AS1						
																																															ARHGAP31-AS1						
																																															ATP2B2-IT2						
																																															LINC01014						
																																															IQCJ-SCHIP1-AS1						
																																															XXYLT1-AS1						
																																															LARS2-AS1						
																																															SLC9A9-AS1						
																																															LOC100996447						
																																															LINC01206						
																																															ITPR1-AS1						
																																															LINC00690						
																																															LOC100996624						
																																															FCF1P2						
																																															LOC101243545						
																																															XXYLT1-AS2						
																																															LSAMP-AS1						
																																															LOC101926968						
																																															LOC101926983						
																																															LOC101927056						
																																															SUCLG2-AS1						
																																															LOC101927123						
																																															LINC01471						
																																															SAMMSON						
																																															GATA2-AS1						
																																															CHL1-AS1						
																																															LINC01266						
																																															PDZRN3-AS1						
																																															LOC101927296						
																																															GRM7-AS3						
																																															LOC101927374						
																																															LOC101927394						
																																															LOC101927416						
																																															TMEM108-AS1						
																																															LOC101927494						
																																															LINC01267						
																																															NCK1-AS1						
																																															SATB1-AS1						
																																															CLSTN2-AS1						
																																															LOC101927829						
																																															PAQR9-AS1						
																																															LOC101927854						
																																															LOC101927866						
																																															LINC01213						
																																															LINC01214						
																																															ERICH6-AS1						
																																															LOC101928105						
																																															LOC101928135						
																																															AADACL2-AS1						
																																															ITGA9-AS1						
																																															LOC101928166						
																																															LINC01487						
																																															LOC101928323						
																																															IL12A-AS1						
																																															LOC101928583						
																																															LINC01209						
																																															LOC101928739						
																																															PEX5L-AS2						
																																															LOC101928882						
																																															SEMA3B-AS1						
																																															LOC101928992						
																																															IQCF5-AS1						
																																															LOC101929054						
																																															LOC101929106						
																																															LOC101929130						
																																															P3H2-AS1						
																																															LOC101929159						
																																															ATP13A4-AS1						
																																															C3orf67-AS1						
																																															ADAMTS9-AS1						
																																															LOC101929337						
																																															HP09053						
																																															LOC101929411						
																																															LOC101929579						
																																															LOC101929607						
																																															LINC01215						
																																															LOC101929694						
																																															LOC101929697						
																																															LOC101929717						
																																															LOC101929754						
																																															LINC01063						
																																															RNU6-7						
																																															RASSF1-AS1						
																																															MIR5787						
																																															MIR6083						
																																															MIR548AY						
																																															MIR6823						
																																															MIR6824						
																																															MIR6826						
																																															MIR6828						
																																															MIR6872						
																																															MIR6890						
																																															MIR7110						
																																															MIR7976						
																																															MIR7977						
																																															MIR8060						
																																															MIR8064						
																																															MIR6829						
																																															MIR6825						
																																															MIR8076						
																																															MIR6822						
																																															MIR6827						
																																															LOC102723448						
																																															LOC102723582						
																																															LOC102724231						
																																															LOC102724297						
																																															CELSR3-AS1						
																																															KCCAT211						
																																															LOC102724604						
																																															LOC102724699						
																																															LINCR-0002						
																																															LINC01391						
																																															MIR548BB						
																																															RNU6-2						
																																															LINC01322						
																																															LINC01327						
																																															LINC01324						
																																															ZBTB20-AS3						
																																															FOXP1-AS1						
																																															KCNMB2-AS1						
																																															LOC105374060						
																																															LOC105374177						
																																															LOC105374194						
																																															LOC105374205						
																																															LOC105374244						
																																															LOC105374250						
																																															LOC105374266						
																																															LOC105374297						
																																															LOC105374313						
																																															GRM7-AS2						
																																															LOC105376955						
																																															LOC105376975						
																																															LOC105376997						
																																															LOC105377102						
																																															LOC105377105						
																																															FAM3D-AS1						
																																															LOC105377143						
																																															LOC105377146						
																																															LOC105377162						
																																															ARF4-AS1						
																																															HTR3E-AS1						
																																															OSTN-AS1						
																																															SNORD136						
																																															SNORA93						
																																															SNORA94						
																																															SNORA95						
